timestamp,step_count
2023-02-24 00:11:21,250
2023-02-24 01:06:49,213
2023-02-24 02:05:15,151
2023-02-24 03:00:00,0
2023-02-24 04:00:00,0
2023-02-24 05:00:00,0
2023-02-24 06:00:00,0
2023-02-24 07:00:00,0
2023-02-24 08:00:00,0
2023-02-24 09:00:00,0
2023-02-24 10:00:00,0
2023-02-24 11:00:00,0
2023-02-24 12:00:00,0
2023-02-24 13:09:34,1761
2023-02-24 14:27:39,1898
2023-02-24 15:00:00,0
2023-02-24 16:00:00,0
2023-02-24 17:00:00,0
2023-02-24 18:00:00,0
2023-02-24 19:00:00,0
2023-02-24 20:00:00,0
2023-02-24 21:00:00,0
2023-02-24 22:22:39,2178
2023-02-24 23:09:43,1064
2023-02-25 00:00:00,0
